Provenance,Destination,Train,Numéro,Jour,Arrivée (réelle),Arrivée (prévue),Retard (min),Cause,Arrêts
Ax-les-Thermes,Toulouse Matabiau ,TER,871452,10-03-2023,09:14:00,09:14:00,0,,"['Ax-les-Thermes', 'Luzenac - Garanou', 'Les Cabannes', 'Tarascon-sur-Ariège', 'Foix', 'Saint-Jean-de-Verges', 'Varilhes', 'Pamiers', 'Le Vernet d\'Ariège"", \'links\': [], \'coord\': {\'lat\': \'43.189541\', \'lon\': \'1.611911\'}, \'label\': ""Le Vernet d\'Ariège (Le Vernet)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87611350:Train\'', 'Saverdun', 'Cintegabelle', 'Auterive', 'Venerque - Le Vernet', 'Pins-Justaret', 'Portet - Saint-Simon', 'Saint-Agne', 'Toulouse Matabiau']"
Muret,Toulouse Matabiau ,TER,872604,10-03-2023,09:21:30,09:21:30,0,,"['Muret', 'Portet - Saint-Simon', 'Saint-Agne', 'Toulouse Matabiau']"
Montréjeau - Gourdan-Polignan,Toulouse Matabiau ,TER,872732,10-03-2023,09:29:30,09:29:30,0,,"['Montréjeau - Gourdan-Polignan', 'Saint-Gaudens', 'Boussens', 'Cazères-sur-Garonne', 'Carbonne', 'Muret', 'Saint-Agne', 'Toulouse Matabiau']"
Montauban Ville Bourbon,Toulouse Matabiau ,TER,871813,10-03-2023,09:32:00,09:32:00,0,,"['Montauban Ville Bourbon', 'Montbartier', 'Dieupentale', 'Grisolles', 'Castelnau-d\'Estrétefonds"", \'links\': [], \'coord\': {\'lat\': \'43.786195\', \'lon\': \'1.341821\'}, \'label\': ""Castelnau-d\'Estrétefonds (Castelnau-d\'Estrétefonds)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87611665:Train\'', 'Saint-Jory', 'Lacourtensourt', 'Toulouse Matabiau']"
Auch,Toulouse Matabiau ,TER,870304,10-03-2023,09:37:00,09:37:00,0,,"['Auch', 'Aubiet', 'Gimont Cahuzac', 'L\'Isle-Jourdain"", \'links\': [], \'coord\': {\'lat\': \'43.617185\', \'lon\': \'1.089829\'}, \'label\': ""L\'Isle-Jourdain (L\'Isle-Jourdain)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87611806:Train\'', 'Brax - Léguevin', 'Pibrac', 'Colomiers - Lycée International', 'Colomiers', 'Saint-Cyprien - Arènes', 'Gallieni - Cancéropôle', 'Saint-Agne', 'Toulouse Matabiau']"
Brive-la-Gaillarde,Toulouse Matabiau ,TER,871635,10-03-2023,09:43:00,09:43:00,0,,"['Brive-la-Gaillarde', 'Souillac', 'Gourdon', 'Cahors', 'Lalbenque - Fontanes', 'Caussade', 'Albias', 'Montauban Ville Bourbon', 'Castelnau-d\'Estrétefonds"", \'links\': [], \'coord\': {\'lat\': \'43.786195\', \'lon\': \'1.341821\'}, \'label\': ""Castelnau-d\'Estrétefonds (Castelnau-d\'Estrétefonds)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87611665:Train\'', 'Toulouse Matabiau']"
Rodez,Toulouse Matabiau ,TER,870003,10-03-2023,10:00:30,10:00:30,0,,"['Rodez', 'Luc-la-Primaube', 'Baraqueville Carcenac Peyralès', 'Naucelle', 'Tanus', 'Carmaux', 'Albi Madeleine', 'Albi-Ville', 'Gaillac', 'Lisle-sur-Tarn', 'Rabastens - Coufouleux', 'Saint-Sulpice', 'Toulouse Matabiau']"
Agen,Toulouse Matabiau ,TER,871841,10-03-2023,10:09:30,10:09:30,0,,"['Agen', 'Lamagistère', 'Valence d\'Agen"", \'links\': [], \'coord\': {\'lat\': \'44.111643\', \'lon\': \'0.891595\'}, \'label\': ""Valence d\'Agen (Valence)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87611863:Train\'', 'Moissac', 'Castelsarrasin', 'Lavilledieu', 'Montauban Ville Bourbon', 'Castelnau-d\'Estrétefonds"", \'links\': [], \'coord\': {\'lat\': \'43.786195\', \'lon\': \'1.341821\'}, \'label\': ""Castelnau-d\'Estrétefonds (Castelnau-d\'Estrétefonds)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87611665:Train\'', 'Toulouse Matabiau']"
Latour-de-Carol - Enveitg,Toulouse Matabiau ,TER,871470,10-03-2023,10:14:00,10:14:00,0,,"['Latour-de-Carol - Enveitg', 'Porté-Puymorens', 'L\'Hospitalet près l\'Andorre"", \'links\': [], \'coord\': {\'lat\': \'42.589453\', \'lon\': \'1.800264\'}, \'label\': ""L\'Hospitalet près l\'Andorre (L\'Hospitalet-près-l\'Andorre)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87611517:Train\'', 'Mérens-les-Vals', 'Ax-les-Thermes', 'Luzenac - Garanou', 'Les Cabannes', 'Tarascon-sur-Ariège', 'Foix', 'Saint-Jean-de-Verges', 'Varilhes', 'Pamiers', 'Le Vernet d\'Ariège"", \'links\': [], \'coord\': {\'lat\': \'43.189541\', \'lon\': \'1.611911\'}, \'label\': ""Le Vernet d\'Ariège (Le Vernet)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87611350:Train\'', 'Saverdun', 'Cintegabelle', 'Auterive', 'Venerque - Le Vernet', 'Pins-Justaret', 'Portet - Saint-Simon', 'Saint-Agne', 'Toulouse Matabiau']"
Mazamet,Toulouse Matabiau ,TER,872472,10-03-2023,10:16:00,10:16:00,0,,"['Mazamet', 'Labruguière', 'Castres', 'Vielmur-sur-Agout', 'Damiatte - Saint-Paul', 'Lavaur', 'Les Cauquillous', 'Saint-Sulpice', 'Montastruc-la-Conseillère', 'Montrabé', 'Toulouse Matabiau']"
Boussens,Toulouse Matabiau ,TER,872614,10-03-2023,10:22:00,10:22:00,0,,"['Boussens', 'Martres-Tolosane', 'Cazères-sur-Garonne', 'Carbonne', 'Longages - Noé', 'Le Fauga', 'Muret', 'Portet - Saint-Simon', 'Saint-Agne', 'Toulouse Matabiau']"
Capdenac,Toulouse Matabiau ,TER,871203,10-03-2023,10:31:00,10:31:00,0,,"['Capdenac', 'Salles-Courbatiès', 'Villefranche-de-Rouergue', 'Najac', 'Laguépie', 'Lexos', 'Cordes - Vindrac', 'Gaillac', 'Lisle-sur-Tarn', 'Saint-Sulpice', 'Gragnague', 'Toulouse Matabiau']"
Auch,Toulouse Matabiau ,TER,870320,10-03-2023,10:36:00,10:36:00,0,,"['Auch', 'Gimont Cahuzac', 'L\'Isle-Jourdain"", \'links\': [], \'coord\': {\'lat\': \'43.617185\', \'lon\': \'1.089829\'}, \'label\': ""L\'Isle-Jourdain (L\'Isle-Jourdain)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87611806:Train\'', 'Brax - Léguevin', 'Pibrac', 'Colomiers - Lycée International', 'Colomiers', 'Saint-Cyprien - Arènes', 'Gallieni - Cancéropôle', 'Saint-Agne', 'Toulouse Matabiau']"
Rodez,Toulouse Matabiau ,TER,870005,10-03-2023,10:44:00,10:44:00,0,,"['Rodez', 'Luc-la-Primaube', 'Baraqueville Carcenac Peyralès', 'Naucelle', 'Carmaux', 'Albi Madeleine', 'Albi-Ville', 'Gaillac', 'Lisle-sur-Tarn', 'Rabastens - Coufouleux', 'Saint-Sulpice', 'Toulouse Matabiau']"
Cahors,Toulouse Matabiau ,TER,871605,10-03-2023,11:02:00,11:02:00,0,,"['Cahors', 'Lalbenque - Fontanes', 'Caussade', 'Albias', 'Montauban Ville Bourbon', 'Montbartier', 'Dieupentale', 'Grisolles', 'Castelnau-d\'Estrétefonds"", \'links\': [], \'coord\': {\'lat\': \'43.786195\', \'lon\': \'1.341821\'}, \'label\': ""Castelnau-d\'Estrétefonds (Castelnau-d\'Estrétefonds)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87611665:Train\'', 'Saint-Jory', 'Lacourtensourt', 'Toulouse Matabiau']"
Narbonne,Marseille - Saint-Charles ,TER,876542,09-03-2023,15:32:30,15:32:30,0,,"['Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Tarascon', 'Arles', 'Saint-Martin-de-Crau', 'Miramas', 'Vitrolles - Aéroport Marseille Provence', 'Marseille - Saint-Charles']"
Avignon Centre,Port-Bou ,TER,86989,09-03-2023,16:49:00,16:49:00,0,,"['Avignon Centre', 'Tarascon', 'Beaucaire', 'Nîmes Pont-du-Gard', 'Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Port-la-Nouvelle', 'Leucate la Franqui', 'Salses', 'Rivesaltes', 'Perpignan', 'Elne', 'Argelès-sur-Mer', 'Collioure', 'Port-Vendres', 'Banyuls-sur-Mer', 'Cerbère', 'Port-Bou']"
Bordeaux Saint-Jean,Marseille - Saint-Charles ,Intercités,4661,09-03-2023,16:52:00,16:52:00,0,,"['Bordeaux Saint-Jean', 'Agen', 'Montauban Ville Bourbon', 'Toulouse Matabiau', 'Carcassonne', 'Narbonne', 'Béziers', 'Montpellier Saint-Roch', 'Nîmes Centre', 'Arles', 'Marseille - Saint-Charles']"
Port-Bou,Avignon Centre ,TER,86992,09-03-2023,17:09:00,17:09:00,0,,"['Port-Bou', 'Cerbère', 'Banyuls-sur-Mer', 'Port-Vendres', 'Collioure', 'Argelès-sur-Mer', 'Elne', 'Perpignan', 'Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Beaucaire', 'Tarascon', 'Avignon Centre']"
Avignon Centre,Cerbère ,TER,876427,09-03-2023,18:51:00,18:51:00,0,,"['Avignon Centre', 'Tarascon', 'Beaucaire', 'Nîmes Pont-du-Gard', 'Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Port-la-Nouvelle', 'Leucate la Franqui', 'Salses', 'Rivesaltes', 'Perpignan', 'Elne', 'Argelès-sur-Mer', 'Collioure', 'Port-Vendres', 'Banyuls-sur-Mer', 'Cerbère']"
Bordeaux Saint-Jean,Marseille - Saint-Charles ,Intercités,4663,09-03-2023,18:54:00,18:54:00,0,,"['Bordeaux Saint-Jean', 'Agen', 'Montauban Ville Bourbon', 'Toulouse Matabiau', 'Carcassonne', 'Narbonne', 'Béziers', 'Montpellier Saint-Roch', 'Nîmes Centre', 'Marseille - Saint-Charles']"
Port-Bou,Avignon Centre ,TER,86994,09-03-2023,19:09:00,19:08:00,1,Retard non expliqué,"['Port-Bou', 'Cerbère', 'Banyuls-sur-Mer', 'Port-Vendres', 'Collioure', 'Argelès-sur-Mer', 'Elne', 'Perpignan', 'Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Beaucaire', 'Tarascon', 'Avignon Centre']"
Paris - Gare de Lyon - Hall 1 & 2,Montpellier Saint-Roch ,TGV INOUI,6223,09-03-2023,20:29:30,20:29:30,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Valence TGV Rhône-Alpes Sud', 'Nîmes Centre', 'Montpellier Saint-Roch']"
Bruxelles-Midi - Brussel-Zuid,Montpellier Saint-Roch ,TGV INOUI,9836,09-03-2023,22:04:00,22:04:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Lille Europe', 'Aéroport Charles de Gaulle 2 TGV', 'Marne-la-Vallée - Chessy', 'Lyon Part Dieu', 'Valence TGV Rhône-Alpes Sud', 'Nîmes Centre', 'Montpellier Saint-Roch']"
Nîmes Centre,Port-Bou ,TER,86967,10-03-2023,05:47:00,05:47:00,0,,"['Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Port-la-Nouvelle', 'Leucate la Franqui', 'Salses', 'Rivesaltes', 'Perpignan', 'Elne', 'Argelès-sur-Mer', 'Collioure', 'Port-Vendres', 'Banyuls-sur-Mer', 'Cerbère', 'Port-Bou']"
Nîmes Centre,Toulouse Matabiau ,TER,876205,10-03-2023,06:10:30,06:10:30,0,,"['Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Villeneuve-lès-Maguelone', 'Vic - Mireval', 'Frontignan', 'Sète', 'Marseillan Plage', 'Agde', 'Vias', 'Béziers', 'Coursan', 'Narbonne', 'Lézignan-Corbières', 'Carcassonne', 'Bram', 'Castelnaudary', 'Avignonet', 'Villefranche-de-Lauragais', 'Villenouvelle', 'Baziège', 'Montlaur', 'Escalquens', 'Labège - Village', 'Labège - Innopole', 'Montaudran', 'Toulouse Matabiau']"
Narbonne,Marseille - Saint-Charles ,TER,876532,10-03-2023,06:33:30,06:33:30,0,,"['Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Tarascon', 'Arles', 'Saint-Martin-de-Crau', 'Miramas', 'Vitrolles - Aéroport Marseille Provence', 'Marseille - Saint-Charles']"
Nîmes Centre,Port-Bou ,TER,86969,10-03-2023,06:47:00,06:47:00,0,,"['Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Port-la-Nouvelle', 'Leucate la Franqui', 'Salses', 'Rivesaltes', 'Perpignan', 'Elne', 'Argelès-sur-Mer', 'Collioure', 'Port-Vendres', 'Banyuls-sur-Mer', 'Cerbère', 'Port-Bou']"
Nîmes Centre,Sète ,TER,876321,10-03-2023,06:55:30,06:55:30,0,,"['Nîmes Centre', 'Saint-Césaire', 'Vergèze - Codognan', 'Lunel', 'Lunel-Viel', 'Valergues - Lansargues', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète']"
Narbonne,Avignon Centre ,TER,876402,10-03-2023,07:09:00,07:09:00,0,,"['Narbonne', 'Béziers', 'Vias', 'Agde', 'Marseillan Plage', 'Sète', 'Frontignan', 'Vic - Mireval', 'Villeneuve-lès-Maguelone', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Beaucaire', 'Tarascon', 'Avignon Centre']"
Nîmes Centre,Narbonne ,TER,876601,10-03-2023,07:25:00,07:25:00,0,,"['Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Villeneuve-lès-Maguelone', 'Vic - Mireval', 'Frontignan', 'Sète', 'Marseillan Plage', 'Agde', 'Vias', 'Béziers', 'Coursan', 'Narbonne']"
Narbonne,Lunel ,TER,876102,10-03-2023,07:26:30,07:26:30,0,,"['Narbonne', 'Coursan', 'Béziers', 'Vias', 'Agde', 'Marseillan Plage', 'Sète', 'Frontignan', 'Vic - Mireval', 'Villeneuve-lès-Maguelone', 'Montpellier Saint-Roch', 'Saint-Aunès', 'Baillargues', 'Lunel-Viel', 'Lunel']"
Narbonne,Marseille - Saint-Charles ,TER,876534,10-03-2023,07:34:30,07:34:30,0,,"['Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Beaucaire', 'Tarascon', 'Arles', 'Saint-Martin-de-Crau', 'Miramas', 'Vitrolles - Aéroport Marseille Provence', 'Marseille - Saint-Charles']"
Avignon Centre,Sète ,TER,876301,10-03-2023,07:39:00,07:39:00,0,,"['Avignon Centre', 'Tarascon', 'Beaucaire', 'Nîmes Pont-du-Gard', 'Nîmes Centre', 'Saint-Césaire', 'Vergèze - Codognan', 'Lunel', 'Lunel-Viel', 'Valergues - Lansargues', 'Baillargues', 'Saint-Aunès', 'Montpellier Saint-Roch', 'Villeneuve-lès-Maguelone', 'Vic - Mireval', 'Frontignan', 'Sète']"
Avignon Centre,Narbonne ,TER,876405,10-03-2023,07:47:00,07:47:00,0,,"['Avignon Centre', 'Tarascon', 'Beaucaire', 'Nîmes Pont-du-Gard', 'Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne']"
Sète,Avignon Centre ,TER,876304,10-03-2023,07:55:30,07:55:30,0,,"['Sète', 'Frontignan', 'Vic - Mireval', 'Villeneuve-lès-Maguelone', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Gallargues', 'Vergèze - Codognan', 'Uchaud', 'Milhaud', 'Saint-Césaire', 'Nîmes Centre', 'Avignon Centre']"
Narbonne,Avignon Centre ,TER,876404,10-03-2023,08:09:00,08:09:00,0,,"['Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Beaucaire', 'Tarascon', 'Avignon Centre']"
Carcassonne,Nîmes Centre ,TER,876225,10-03-2023,08:27:30,08:27:30,0,,"['Carcassonne', 'Lézignan-Corbières', 'Narbonne', 'Coursan', 'Béziers', 'Vias', 'Agde', 'Marseillan Plage', 'Sète', 'Frontignan', 'Vic - Mireval', 'Villeneuve-lès-Maguelone', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre']"
Lunel,Sète ,TER,876337,10-03-2023,08:32:30,08:32:30,0,,"['Lunel', 'Valergues - Lansargues', 'Baillargues', 'Saint-Aunès', 'Montpellier Saint-Roch', 'Villeneuve-lès-Maguelone', 'Vic - Mireval', 'Frontignan', 'Sète']"
Avignon Centre,Perpignan ,TER,876407,10-03-2023,08:47:30,08:47:30,0,,"['Avignon Centre', 'Tarascon', 'Beaucaire', 'Nîmes Pont-du-Gard', 'Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Port-la-Nouvelle', 'Leucate la Franqui', 'Salses', 'Rivesaltes', 'Perpignan']"
Avignon Centre,Montpellier Saint-Roch ,TER,876303,10-03-2023,08:58:00,08:58:00,0,,"['Avignon Centre', 'Tarascon', 'Beaucaire', 'Nîmes Pont-du-Gard', 'Nîmes Centre', 'Saint-Césaire', 'Vergèze - Codognan', 'Lunel', 'Lunel-Viel', 'Valergues - Lansargues', 'Baillargues', 'Saint-Aunès', 'Montpellier Saint-Roch']"
Sète,Lunel ,TER,876336,10-03-2023,09:05:00,09:05:00,0,,"['Sète', 'Frontignan', 'Vic - Mireval', 'Villeneuve-lès-Maguelone', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel']"
Cerbère,Nîmes Centre ,TER,876406,10-03-2023,09:09:00,09:09:00,0,,"['Cerbère', 'Banyuls-sur-Mer', 'Port-Vendres', 'Collioure', 'Argelès-sur-Mer', 'Elne', 'Perpignan', 'Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre']"
Nîmes Centre,Narbonne ,TER,876607,10-03-2023,09:22:00,09:22:00,0,,"['Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne']"
Sète,Montpellier Saint-Roch ,TER,876334,10-03-2023,09:29:30,09:29:30,0,,"['Sète', 'Frontignan', 'Vic - Mireval', 'Villeneuve-lès-Maguelone', 'Montpellier Saint-Roch']"
Cerbère,Montpellier Saint-Roch ,TER,876604,10-03-2023,09:35:00,09:35:00,0,,"['Cerbère', 'Banyuls-sur-Mer', 'Port-Vendres', 'Collioure', 'Argelès-sur-Mer', 'Elne', 'Perpignan', 'Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch']"
Avignon Centre,Narbonne ,TER,876409,10-03-2023,09:49:00,09:49:00,0,,"['Avignon Centre', 'Tarascon', 'Beaucaire', 'Nîmes Pont-du-Gard', 'Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne']"
Narbonne,Avignon Centre ,TER,876408,10-03-2023,10:04:30,10:04:30,0,,"['Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Beaucaire', 'Tarascon', 'Avignon Centre']"
Lunel,Sète ,TER,876341,10-03-2023,10:35:00,10:35:00,0,,"['Lunel', 'Lunel-Viel', 'Valergues - Lansargues', 'Baillargues', 'Saint-Aunès', 'Montpellier Saint-Roch', 'Frontignan', 'Sète']"
Avignon Centre,Port-Bou ,TER,86983,10-03-2023,10:47:00,10:47:00,0,,"['Avignon Centre', 'Tarascon', 'Beaucaire', 'Nîmes Pont-du-Gard', 'Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Port-la-Nouvelle', 'Leucate la Franqui', 'Salses', 'Rivesaltes', 'Perpignan', 'Elne', 'Argelès-sur-Mer', 'Collioure', 'Port-Vendres', 'Banyuls-sur-Mer', 'Cerbère', 'Port-Bou']"
Marseille - Saint-Charles,Bordeaux Saint-Jean ,Intercités,4758,10-03-2023,11:03:00,11:03:00,0,,"['Marseille - Saint-Charles', 'Nîmes Centre', 'Montpellier Saint-Roch', 'Béziers', 'Narbonne', 'Carcassonne', 'Toulouse Matabiau', 'Montauban Ville Bourbon', 'Marmande', 'Bordeaux Saint-Jean']"
Narbonne,Avignon Centre ,TER,876412,10-03-2023,11:09:00,11:09:00,0,,"['Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Beaucaire', 'Tarascon', 'Avignon Centre']"
Paris - Gare de Lyon - Hall 1 & 2,Montpellier Saint-Roch ,TGV INOUI,6221,10-03-2023,11:14:00,11:14:00,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Valence TGV Rhône-Alpes Sud', 'Nîmes Centre', 'Montpellier Saint-Roch']"
Sète,Lunel ,TER,876342,10-03-2023,11:36:00,11:36:00,0,,"['Sète', 'Frontignan', 'Vic - Mireval', 'Villeneuve-lès-Maguelone', 'Montpellier Saint-Roch', 'Saint-Aunès', 'Baillargues', 'Valergues - Lansargues', 'Lunel']"
Lunel,Sète ,TER,876349,10-03-2023,12:42:00,12:42:00,0,,"['Lunel', 'Lunel-Viel', 'Valergues - Lansargues', 'Baillargues', 'Saint-Aunès', 'Montpellier Saint-Roch', 'Villeneuve-lès-Maguelone', 'Vic - Mireval', 'Frontignan', 'Sète']"
Avignon Centre,Port-Bou ,TER,86985,10-03-2023,12:48:00,12:48:00,0,,"['Avignon Centre', 'Tarascon', 'Beaucaire', 'Nîmes Pont-du-Gard', 'Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Port-la-Nouvelle', 'Leucate la Franqui', 'Salses', 'Rivesaltes', 'Perpignan', 'Elne', 'Argelès-sur-Mer', 'Collioure', 'Port-Vendres', 'Banyuls-sur-Mer', 'Cerbère', 'Port-Bou']"
Perpignan,Avignon Centre ,TER,876414,10-03-2023,13:09:00,13:09:00,0,,"['Perpignan', 'Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Beaucaire', 'Tarascon', 'Avignon Centre']"
Paris - Gare de Lyon - Hall 1 & 2,Barcelona Sants ,TGV INOUI,9713,10-03-2023,13:13:00,13:13:00,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Valence TGV Rhône-Alpes Sud', 'Nîmes Centre', 'Montpellier Saint-Roch', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Perpignan', 'Figueres - Vilafant', 'Girona/Gerona', 'Barcelona Sants']"
Paris - Gare de Lyon - Hall 1 & 2,Montpellier Saint-Roch ,TGV INOUI,6033,10-03-2023,13:13:00,13:13:00,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Valence TGV Rhône-Alpes Sud', 'Nîmes Centre', 'Montpellier Saint-Roch']"
Narbonne,Montpellier Saint-Roch ,TER,876108,10-03-2023,13:30:00,13:30:00,0,,"['Narbonne', 'Coursan', 'Béziers', 'Vias', 'Agde', 'Marseillan Plage', 'Sète', 'Frontignan', 'Vic - Mireval', 'Villeneuve-lès-Maguelone', 'Montpellier Saint-Roch']"
Avignon Centre,Montpellier Saint-Roch ,TER,876307,10-03-2023,13:41:30,13:41:30,0,,"['Avignon Centre', 'Tarascon', 'Beaucaire', 'Nîmes Pont-du-Gard', 'Nîmes Centre', 'Saint-Césaire', 'Vergèze - Codognan', 'Lunel', 'Lunel-Viel', 'Valergues - Lansargues', 'Baillargues', 'Saint-Aunès', 'Montpellier Saint-Roch']"
Lyon Part Dieu,Toulouse Matabiau ,TGV INOUI,6823,10-03-2023,14:03:00,14:03:00,0,,"['Lyon Part Dieu', 'Valence TGV Rhône-Alpes Sud', 'Nîmes Centre', 'Montpellier Saint-Roch', 'Béziers', 'Narbonne', 'Carcassonne', 'Toulouse Matabiau']"
Narbonne,Avignon Centre ,TER,876416,10-03-2023,14:09:00,14:09:00,0,,"['Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Beaucaire', 'Tarascon', 'Avignon Centre']"
Sète,Montpellier Saint-Roch ,TER,876350,10-03-2023,14:38:00,14:38:00,0,,"['Sète', 'Frontignan', 'Vic - Mireval', 'Villeneuve-lès-Maguelone', 'Montpellier Saint-Roch']"
Avignon Centre,Port-Bou ,TER,86987,10-03-2023,14:47:30,14:47:30,0,,"['Avignon Centre', 'Tarascon', 'Beaucaire', 'Nîmes Pont-du-Gard', 'Nîmes Centre', 'Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Port-la-Nouvelle', 'Leucate la Franqui', 'Salses', 'Rivesaltes', 'Perpignan', 'Elne', 'Argelès-sur-Mer', 'Collioure', 'Port-Vendres', 'Banyuls-sur-Mer', 'Cerbère', 'Port-Bou']"
